gameid,date,league,patch,blue,red,blue_win,best_of
LCK/2022 Season/Summer Season_Week 1_9_3,2022-06-19 10:17:00,LCK,12.10,KT Rolster,T1,0,1
LPL/2022 Season/Summer Season_Week 2_15_1,2022-06-19 11:03:00,LPL,12.10,LNG Esports,ThunderTalk Gaming,1,1
LPL/2022 Season/Summer Season_Week 2_15_2,2022-06-19 11:59:00,LPL,12.10,LNG Esports,ThunderTalk Gaming,0,1
LCK/2022 Season/Summer Season_Week 1_10_1,2022-06-19 12:23:00,LCK,12.10,DWG KIA,Liiv SANDBOX,1,1
LPL/2022 Season/Summer Season_Week 2_15_3,2022-06-19 12:52:00,LPL,12.10,LNG Esports,ThunderTalk Gaming,1,1
LCK/2022 Season/Summer Season_Week 1_10_2,2022-06-19 13:19:00,LCK,12.10,Liiv SANDBOX,DWG KIA,0,1
LEC/2022 Season/Summer Season_Week 1_11_1,2022-06-19 15:07:00,LEC,12.11,Misfits Gaming,Astralis,0,1
LEC/2022 Season/Summer Season_Week 1_12_1,2022-06-19 16:00:00,LEC,12.11,Team BDS,Team Vitality,0,1
CBLOL/2022 Season/Split 2_Week 2_6_1,2022-06-19 16:16:00,CBLOL,12.11,LOUD,Liberty,1,1
LEC/2022 Season/Summer Season_Week 1_13_1,2022-06-19 17:00:00,LEC,12.11,SK Gaming,Fnatic,0,1
CBLOL/2022 Season/Split 2_Week 2_7_1,2022-06-19 17:22:00,CBLOL,12.11,KaBuM! Esports,paiN Gaming,0,1
LEC/2022 Season/Summer Season_Week 1_14_1,2022-06-19 18:03:00,LEC,12.11,G2 Esports,Excel Esports,1,1
CBLOL/2022 Season/Split 2_Week 2_8_1,2022-06-19 18:24:00,CBLOL,12.11,Flamengo Los Grandes,INTZ,1,1
LEC/2022 Season/Summer Season_Week 1_15_1,2022-06-19 19:14:00,LEC,12.11,MAD Lions,Rogue (European Team),0,1
CBLOL/2022 Season/Split 2_Week 2_9_1,2022-06-19 19:19:00,CBLOL,12.11,FURIA,RED Canids,1,1
LCS/2022 Season/Summer Season_Week 1_11_1,2022-06-19 19:39:00,LCS,12.11,100 Thieves,Dignitas,1,1
CBLOL/2022 Season/Split 2_Week 2_10_1,2022-06-19 20:16:00,CBLOL,12.11,Miners,Rensga Esports,1,1
LCS/2022 Season/Summer Season_Week 1_12_1,2022-06-19 20:42:00,LCS,12.11,FlyQuest,Evil Geniuses.NA,0,1
LCS/2022 Season/Summer Season_Week 1_13_1,2022-06-19 21:42:00,LCS,12.11,Team Liquid,Cloud9,1,1
LCS/2022 Season/Summer Season_Week 1_14_1,2022-06-19 22:45:00,LCS,12.11,Golden Guardians,Counter Logic Gaming,0,1
LCS/2022 Season/Summer Season_Week 1_15_1,2022-06-19 23:50:00,LCS,12.11,Immortals,TSM,0,1
LPL/2022 Season/Summer Season_Week 3_1_1,2022-06-20 09:11:00,LPL,12.10,Oh My God,JD Gaming,1,1
LPL/2022 Season/Summer Season_Week 3_1_2,2022-06-20 09:58:00,LPL,12.10,JD Gaming,Oh My God,1,1
LPL/2022 Season/Summer Season_Week 3_1_3,2022-06-20 10:43:00,LPL,12.10,Oh My God,JD Gaming,0,1
LPL/2022 Season/Summer Season_Week 3_2_1,2022-06-20 11:33:00,LPL,12.10,Ultra Prime,Rare Atom,0,1
LPL/2022 Season/Summer Season_Week 3_2_2,2022-06-20 12:19:00,LPL,12.10,Rare Atom,Ultra Prime,0,1
LPL/2022 Season/Summer Season_Week 3_2_3,2022-06-20 13:14:00,LPL,12.10,Ultra Prime,Rare Atom,1,1
LPL/2022 Season/Summer Season_Week 3_3_1,2022-06-21 09:09:00,LPL,12.10,Victory Five,FunPlus Phoenix,1,1
LPL/2022 Season/Summer Season_Week 3_3_2,2022-06-21 09:59:00,LPL,12.10,FunPlus Phoenix,Victory Five,0,1
LPL/2022 Season/Summer Season_Week 3_4_1,2022-06-21 10:52:00,LPL,12.10,Royal Never Give Up,Weibo Gaming,1,1
LPL/2022 Season/Summer Season_Week 3_4_2,2022-06-21 11:44:00,LPL,12.10,Royal Never Give Up,Weibo Gaming,0,1
LPL/2022 Season/Summer Season_Week 3_4_3,2022-06-21 12:39:00,LPL,12.10,Royal Never Give Up,Weibo Gaming,1,1
LCK/2022 Season/Summer Season_Week 2_1_1,2022-06-22 08:08:00,LCK,12.11,Gen.G,DWG KIA,1,1
LCK/2022 Season/Summer Season_Week 2_1_2,2022-06-22 09:08:00,LCK,12.11,DWG KIA,Gen.G,1,1
LPL/2022 Season/Summer Season_Week 3_5_1,2022-06-22 09:10:00,LPL,12.11,Invictus Gaming,EDward Gaming,1,1
LPL/2022 Season/Summer Season_Week 3_5_2,2022-06-22 10:01:00,LPL,12.11,EDward Gaming,Invictus Gaming,1,1
LCK/2022 Season/Summer Season_Week 2_1_3,2022-06-22 10:06:00,LCK,12.11,Gen.G,DWG KIA,1,1
LPL/2022 Season/Summer Season_Week 3_5_3,2022-06-22 10:46:00,LPL,12.11,Invictus Gaming,EDward Gaming,0,1
LPL/2022 Season/Summer Season_Week 3_6_1,2022-06-22 11:38:00,LPL,12.11,Top Esports,Bilibili Gaming,1,1
LCK/2022 Season/Summer Season_Week 2_2_1,2022-06-22 11:42:00,LCK,12.11,Fredit BRION,KT Rolster,0,1
LPL/2022 Season/Summer Season_Week 3_6_2,2022-06-22 12:35:00,LPL,12.11,Bilibili Gaming,Top Esports,0,1
LCK/2022 Season/Summer Season_Week 2_2_2,2022-06-22 12:40:00,LCK,12.11,Fredit BRION,KT Rolster,0,1
LCK/2022 Season/Summer Season_Week 2_3_1,2022-06-23 08:11:00,LCK,12.11,Kwangdong Freecs,Nongshim RedForce,0,1
LPL/2022 Season/Summer Season_Week 3_7_1,2022-06-23 09:09:00,LPL,12.11,Anyone's Legend,LGD Gaming,0,1
LCK/2022 Season/Summer Season_Week 2_3_2,2022-06-23 09:20:00,LCK,12.11,Kwangdong Freecs,Nongshim RedForce,0,1
LPL/2022 Season/Summer Season_Week 3_7_2,2022-06-23 10:02:00,LPL,12.11,LGD Gaming,Anyone's Legend,1,1
LPL/2022 Season/Summer Season_Week 3_8_1,2022-06-23 10:58:00,LPL,12.11,ThunderTalk Gaming,Team WE,1,1
LCK/2022 Season/Summer Season_Week 2_4_1,2022-06-23 11:14:00,LCK,12.11,T1,Liiv SANDBOX,1,1
LPL/2022 Season/Summer Season_Week 3_8_2,2022-06-23 11:45:00,LPL,12.11,Team WE,ThunderTalk Gaming,0,1
LCK/2022 Season/Summer Season_Week 2_4_2,2022-06-23 12:25:00,LCK,12.11,Liiv SANDBOX,T1,0,1
LCK/2022 Season/Summer Season_Week 2_5_1,2022-06-24 08:07:00,LCK,12.11,Hanwha Life Esports,DRX,0,1
LCK/2022 Season/Summer Season_Week 2_5_2,2022-06-24 08:59:00,LCK,12.11,Hanwha Life Esports,DRX,1,1
LPL/2022 Season/Summer Season_Week 3_9_1,2022-06-24 09:09:00,LPL,12.11,Oh My God,LNG Esports,1,1
LPL/2022 Season/Summer Season_Week 3_9_2,2022-06-24 09:54:00,LPL,12.11,LNG Esports,Oh My God,1,1
LCK/2022 Season/Summer Season_Week 2_5_3,2022-06-24 09:55:00,LCK,12.11,DRX,Hanwha Life Esports,1,1
LPL/2022 Season/Summer Season_Week 3_9_3,2022-06-24 10:47:00,LPL,12.11,Oh My God,LNG Esports,1,1
LCK/2022 Season/Summer Season_Week 2_6_1,2022-06-24 11:32:00,LCK,12.11,Fredit BRION,Gen.G,0,1
LPL/2022 Season/Summer Season_Week 3_10_1,2022-06-24 11:52:00,LPL,12.11,JD Gaming,Ultra Prime,1,1
LCK/2022 Season/Summer Season_Week 2_6_2,2022-06-24 12:21:00,LCK,12.11,Fredit BRION,Gen.G,0,1
LPL/2022 Season/Summer Season_Week 3_10_2,2022-06-24 12:48:00,LPL,12.11,Ultra Prime,JD Gaming,1,1
LPL/2022 Season/Summer Season_Week 3_10_3,2022-06-24 13:46:00,LPL,12.11,JD Gaming,Ultra Prime,1,1
LEC/2022 Season/Summer Season_Week 2_1_1,2022-06-24 15:58:00,LEC,12.11,SK Gaming,Astralis,0,1
LEC/2022 Season/Summer Season_Week 2_2_1,2022-06-24 19:07:00,LEC,12.11,Excel Esports,Team Vitality,1,1
LEC/2022 Season/Summer Season_Week 2_3_1,2022-06-24 20:15:00,LEC,12.11,Misfits Gaming,Rogue (European Team),0,1
LEC/2022 Season/Summer Season_Week 2_4_1,2022-06-24 21:22:00,LEC,12.11,G2 Esports,Team BDS,0,1
LEC/2022 Season/Summer Season_Week 2_5_1,2022-06-24 22:27:00,LEC,12.11,Fnatic,MAD Lions,0,1
LPL/2022 Season/Summer Season_Week 3_11_1,2022-06-25 07:12:00,LPL,12.11,Weibo Gaming,Rare Atom,0,1
LPL/2022 Season/Summer Season_Week 3_11_2,2022-06-25 07:58:00,LPL,12.11,Weibo Gaming,Rare Atom,1,1
LCK/2022 Season/Summer Season_Week 2_7_1,2022-06-25 08:15:00,LCK,12.11,DWG KIA,T1,0,1
LPL/2022 Season/Summer Season_Week 3_11_3,2022-06-25 08:53:00,LPL,12.11,Weibo Gaming,Rare Atom,1,1
LCK/2022 Season/Summer Season_Week 2_7_2,2022-06-25 09:10:00,LCK,12.11,DWG KIA,T1,0,1
LPL/2022 Season/Summer Season_Week 3_12_1,2022-06-25 10:09:00,LPL,12.11,FunPlus Phoenix,Top Esports,0,1
LPL/2022 Season/Summer Season_Week 3_12_2,2022-06-25 10:58:00,LPL,12.11,Top Esports,FunPlus Phoenix,0,1
LCK/2022 Season/Summer Season_Week 2_8_1,2022-06-25 11:05:00,LCK,12.11,Liiv SANDBOX,KT Rolster,1,1
LCK/2022 Season/Summer Season_Week 2_8_2,2022-06-25 12:05:00,LCK,12.11,KT Rolster,Liiv SANDBOX,0,1
LPL/2022 Season/Summer Season_Week 3_12_3,2022-06-25 12:10:00,LPL,12.11,Top Esports,FunPlus Phoenix,1,1
LPL/2022 Season/Summer Season_Week 3_13_1,2022-06-25 13:02:00,LPL,12.11,Victory Five,Royal Never Give Up,1,1
LPL/2022 Season/Summer Season_Week 3_13_2,2022-06-25 13:51:00,LPL,12.11,Royal Never Give Up,Victory Five,1,1
LPL/2022 Season/Summer Season_Week 3_13_3,2022-06-25 14:44:00,LPL,12.11,Victory Five,Royal Never Give Up,1,1
LEC/2022 Season/Summer Season_Week 2_6_1,2022-06-25 15:08:00,LEC,12.11,Misfits Gaming,SK Gaming,1,1
LEC/2022 Season/Summer Season_Week 2_7_1,2022-06-25 16:22:00,LEC,12.11,Excel Esports,MAD Lions,1,1
CBLOL/2022 Season/Split 2_Week 3_1_1,2022-06-25 16:23:00,CBLOL,12.11,INTZ,LOUD,0,1
LEC/2022 Season/Summer Season_Week 2_8_1,2022-06-25 17:19:00,LEC,12.11,Rogue (European Team),Astralis,1,1
CBLOL/2022 Season/Split 2_Week 3_2_1,2022-06-25 17:48:00,CBLOL,12.11,paiN Gaming,Miners,1,1
LEC/2022 Season/Summer Season_Week 2_9_1,2022-06-25 18:29:00,LEC,12.11,Fnatic,Team BDS,1,1
CBLOL/2022 Season/Split 2_Week 3_3_1,2022-06-25 19:02:00,CBLOL,12.11,RED Canids,Flamengo Los Grandes,1,1
LEC/2022 Season/Summer Season_Week 2_10_1,2022-06-25 19:58:00,LEC,12.11,Team Vitality,G2 Esports,0,1
CBLOL/2022 Season/Split 2_Week 3_4_1,2022-06-25 19:59:00,CBLOL,12.11,Liberty,KaBuM! Esports,1,1
LCS/2022 Season/Summer Season_Week 2_1_1,2022-06-25 20:38:00,LCS,12.11,Dignitas,Cloud9,0,1
CBLOL/2022 Season/Split 2_Week 3_5_1,2022-06-25 21:09:00,CBLOL,12.11,Rensga Esports,FURIA,1,1
LCS/2022 Season/Summer Season_Week 2_2_1,2022-06-25 21:41:00,LCS,12.11,100 Thieves,Golden Guardians,1,1
LCS/2022 Season/Summer Season_Week 2_3_1,2022-06-25 22:47:00,LCS,12.11,TSM,Team Liquid,1,1
LCS/2022 Season/Summer Season_Week 2_4_1,2022-06-25 23:45:00,LCS,12.11,Evil Geniuses.NA,Immortals,1,1
LCS/2022 Season/Summer Season_Week 2_5_1,2022-06-26 00:55:00,LCS,12.11,Counter Logic Gaming,FlyQuest,0,1
LCK/2022 Season/Summer Season_Week 2_9_1,2022-06-26 08:24:00,LCK,12.11,Hanwha Life Esports,Nongshim RedForce,0,1
LPL/2022 Season/Summer Season_Week 3_14_1,2022-06-26 09:10:00,LPL,12.11,Invictus Gaming,Anyone's Legend,1,1
LCK/2022 Season/Summer Season_Week 2_9_2,2022-06-26 09:16:00,LCK,12.11,Hanwha Life Esports,Nongshim RedForce,1,1
LPL/2022 Season/Summer Season_Week 3_14_2,2022-06-26 09:56:00,LPL,12.11,Anyone's Legend,Invictus Gaming,1,1
LCK/2022 Season/Summer Season_Week 2_9_3,2022-06-26 10:10:00,LCK,12.11,Nongshim RedForce,Hanwha Life Esports,1,1
LPL/2022 Season/Summer Season_Week 3_14_3,2022-06-26 10:49:00,LPL,12.11,Invictus Gaming,Anyone's Legend,0,1
LPL/2022 Season/Summer Season_Week 3_15_1,2022-06-26 11:43:00,LPL,12.11,EDward Gaming,Bilibili Gaming,1,1
LCK/2022 Season/Summer Season_Week 2_10_1,2022-06-26 12:03:00,LCK,12.11,DRX,Kwangdong Freecs,1,1
LPL/2022 Season/Summer Season_Week 3_15_2,2022-06-26 12:30:00,LPL,12.11,Bilibili Gaming,EDward Gaming,1,1
LCK/2022 Season/Summer Season_Week 2_10_2,2022-06-26 13:04:00,LCK,12.11,Kwangdong Freecs,DRX,0,1
LPL/2022 Season/Summer Season_Week 3_15_3,2022-06-26 13:19:00,LPL,12.11,EDward Gaming,Bilibili Gaming,1,1
CBLOL/2022 Season/Split 2_Week 3_6_1,2022-06-26 16:17:00,CBLOL,12.11,Liberty,paiN Gaming,1,1
CBLOL/2022 Season/Split 2_Week 3_7_1,2022-06-26 17:24:00,CBLOL,12.11,LOUD,RED Canids,0,1
LCS/2022 Season/Summer Season_Week 2_6_1,2022-06-26 19:31:00,LCS,12.11,Golden Guardians,TSM,1,1
CBLOL/2022 Season/Split 2_Week 3_8_1,2022-06-26 19:34:00,CBLOL,12.11,FURIA,Miners,1,1
LCS/2022 Season/Summer Season_Week 2_7_1,2022-06-26 20:34:00,LCS,12.11,Team Liquid,FlyQuest,1,1
CBLOL/2022 Season/Split 2_Week 3_9_1,2022-06-26 20:38:00,CBLOL,12.11,Flamengo Los Grandes,Rensga Esports,1,1
LCS/2022 Season/Summer Season_Week 2_8_1,2022-06-26 21:41:00,LCS,12.11,Cloud9,100 Thieves,1,1
CBLOL/2022 Season/Split 2_Week 3_10_1,2022-06-26 21:47:00,CBLOL,12.11,KaBuM! Esports,INTZ,1,1
LCS/2022 Season/Summer Season_Week 2_9_1,2022-06-26 22:50:00,LCS,12.11,Evil Geniuses.NA,Counter Logic Gaming,0,1
LCS/2022 Season/Summer Season_Week 2_10_1,2022-06-26 23:58:00,LCS,12.11,Immortals,Dignitas,0,1
LPL/2022 Season/Summer Season_Week 4_1_1,2022-06-27 09:09:00,LPL,12.11,Oh My God,LGD Gaming,1,1
LPL/2022 Season/Summer Season_Week 4_1_2,2022-06-27 10:00:00,LPL,12.11,LGD Gaming,Oh My God,0,1
LPL/2022 Season/Summer Season_Week 4_2_1,2022-06-27 11:00:00,LPL,12.11,JD Gaming,ThunderTalk Gaming,1,1
LPL/2022 Season/Summer Season_Week 4_2_2,2022-06-27 11:51:00,LPL,12.11,JD Gaming,ThunderTalk Gaming,1,1
LPL/2022 Season/Summer Season_Week 4_3_1,2022-06-28 09:09:00,LPL,12.11,Victory Five,Team WE,1,1
LPL/2022 Season/Summer Season_Week 4_3_2,2022-06-28 09:52:00,LPL,12.11,Victory Five,Team WE,1,1
LPL/2022 Season/Summer Season_Week 4_4_1,2022-06-28 10:42:00,LPL,12.11,LNG Esports,Top Esports,0,1
LPL/2022 Season/Summer Season_Week 4_4_2,2022-06-28 11:39:00,LPL,12.11,Top Esports,LNG Esports,1,1
LCK/2022 Season/Summer Season_Week 3_1_1,2022-06-29 08:07:00,LCK,12.11,Liiv SANDBOX,DRX,1,1
LCK/2022 Season/Summer Season_Week 3_1_2,2022-06-29 08:57:00,LCK,12.11,Liiv SANDBOX,DRX,0,1
LPL/2022 Season/Summer Season_Week 4_5_1,2022-06-29 09:09:00,LPL,12.11,FunPlus Phoenix,Rare Atom,1,1
LPL/2022 Season/Summer Season_Week 4_5_2,2022-06-29 09:52:00,LPL,12.11,FunPlus Phoenix,Rare Atom,1,1
LCK/2022 Season/Summer Season_Week 3_1_3,2022-06-29 10:01:00,LCK,12.11,DRX,Liiv SANDBOX,0,1
LPL/2022 Season/Summer Season_Week 4_6_1,2022-06-29 10:44:00,LPL,12.11,Weibo Gaming,Ultra Prime,1,1
LPL/2022 Season/Summer Season_Week 4_6_2,2022-06-29 11:27:00,LPL,12.11,Ultra Prime,Weibo Gaming,0,1
LCK/2022 Season/Summer Season_Week 3_2_1,2022-06-29 11:53:00,LCK,12.11,T1,Kwangdong Freecs,1,1
LCK/2022 Season/Summer Season_Week 3_2_2,2022-06-29 12:44:00,LCK,12.11,T1,Kwangdong Freecs,0,1
LCK/2022 Season/Summer Season_Week 3_2_3,2022-06-29 13:38:00,LCK,12.11,T1,Kwangdong Freecs,0,1
LCK/2022 Season/Summer Season_Week 3_3_1,2022-06-30 08:06:00,LCK,12.11,Fredit BRION,Hanwha Life Esports,1,1
LCK/2022 Season/Summer Season_Week 3_3_2,2022-06-30 09:10:00,LCK,12.11,Hanwha Life Esports,Fredit BRION,1,1
LPL/2022 Season/Summer Season_Week 4_7_1,2022-06-30 09:13:00,LPL,12.11,Bilibili Gaming,Invictus Gaming,1,1
LCK/2022 Season/Summer Season_Week 3_3_3,2022-06-30 10:04:00,LCK,12.11,Fredit BRION,Hanwha Life Esports,0,1
LPL/2022 Season/Summer Season_Week 4_7_2,2022-06-30 10:09:00,LPL,12.11,Invictus Gaming,Bilibili Gaming,1,1
LPL/2022 Season/Summer Season_Week 4_7_3,2022-06-30 10:58:00,LPL,12.11,Bilibili Gaming,Invictus Gaming,1,1
LCK/2022 Season/Summer Season_Week 3_4_1,2022-06-30 11:48:00,LCK,12.11,Gen.G,Nongshim RedForce,1,1
LPL/2022 Season/Summer Season_Week 4_8_1,2022-06-30 11:56:00,LPL,12.11,Royal Never Give Up,Oh My God,0,1
LCK/2022 Season/Summer Season_Week 3_4_2,2022-06-30 12:45:00,LCK,12.11,Nongshim RedForce,Gen.G,0,1
LPL/2022 Season/Summer Season_Week 4_8_2,2022-06-30 12:49:00,LPL,12.11,Oh My God,Royal Never Give Up,0,1
LPL/2022 Season/Summer Season_Week 4_8_3,2022-06-30 13:34:00,LPL,12.11,Royal Never Give Up,Oh My God,1,1
LCK/2022 Season/Summer Season_Week 3_5_1,2022-07-01 08:08:00,LCK,12.11,KT Rolster,DWG KIA,0,1
LCK/2022 Season/Summer Season_Week 3_5_2,2022-07-01 08:59:00,LCK,12.11,DWG KIA,KT Rolster,1,1
LPL/2022 Season/Summer Season_Week 4_9_1,2022-07-01 09:10:00,LPL,12.11,EDward Gaming,ThunderTalk Gaming,1,1
LPL/2022 Season/Summer Season_Week 4_9_2,2022-07-01 10:05:00,LPL,12.11,EDward Gaming,ThunderTalk Gaming,1,1
LPL/2022 Season/Summer Season_Week 4_10_1,2022-07-01 11:06:00,LPL,12.11,Anyone's Legend,Victory Five,1,1
LCK/2022 Season/Summer Season_Week 3_6_1,2022-07-01 11:08:00,LCK,12.11,T1,DRX,1,1
LPL/2022 Season/Summer Season_Week 4_10_2,2022-07-01 11:56:00,LPL,12.11,Victory Five,Anyone's Legend,1,1
LCK/2022 Season/Summer Season_Week 3_6_2,2022-07-01 12:09:00,LCK,12.11,T1,DRX,1,1
LPL/2022 Season/Summer Season_Week 4_10_3,2022-07-01 12:43:00,LPL,12.11,Anyone's Legend,Victory Five,0,1
LEC/2022 Season/Summer Season_Week 3_1_1,2022-07-01 16:07:00,LEC,12.12,Misfits Gaming,Team BDS,1,1
LEC/2022 Season/Summer Season_Week 3_2_1,2022-07-01 17:04:00,LEC,12.12,Team Vitality,SK Gaming,1,1
LEC/2022 Season/Summer Season_Week 3_3_1,2022-07-01 18:05:00,LEC,12.12,Excel Esports,Rogue (European Team),0,1
LEC/2022 Season/Summer Season_Week 3_4_1,2022-07-01 19:07:00,LEC,12.12,Fnatic,Astralis,1,1
LEC/2022 Season/Summer Season_Week 3_5_1,2022-07-01 20:10:00,LEC,12.12,MAD Lions,G2 Esports,1,1
LPL/2022 Season/Summer Season_Week 4_11_1,2022-07-02 07:12:00,LPL,12.11,LNG Esports,LGD Gaming,1,1
LCK/2022 Season/Summer Season_Week 3_7_1,2022-07-02 08:08:00,LCK,12.11,Liiv SANDBOX,Fredit BRION,1,1
LPL/2022 Season/Summer Season_Week 4_11_2,2022-07-02 08:08:00,LPL,12.11,LGD Gaming,LNG Esports,1,1
LCK/2022 Season/Summer Season_Week 3_7_2,2022-07-02 09:03:00,LCK,12.11,Fredit BRION,Liiv SANDBOX,0,1
LPL/2022 Season/Summer Season_Week 4_11_3,2022-07-02 09:15:00,LPL,12.11,LNG Esports,LGD Gaming,1,1
LPL/2022 Season/Summer Season_Week 4_12_1,2022-07-02 10:46:00,LPL,12.11,FunPlus Phoenix,JD Gaming,0,1
LCK/2022 Season/Summer Season_Week 3_8_1,2022-07-02 11:08:00,LCK,12.11,Gen.G,Kwangdong Freecs,1,1
LPL/2022 Season/Summer Season_Week 4_12_2,2022-07-02 11:38:00,LPL,12.11,JD Gaming,FunPlus Phoenix,0,1
LCK/2022 Season/Summer Season_Week 3_8_2,2022-07-02 12:02:00,LCK,12.11,Gen.G,Kwangdong Freecs,1,1
LPL/2022 Season/Summer Season_Week 4_12_3,2022-07-02 12:30:00,LPL,12.11,FunPlus Phoenix,JD Gaming,1,1
LPL/2022 Season/Summer Season_Week 4_13_1,2022-07-02 13:34:00,LPL,12.11,Weibo Gaming,Top Esports,0,1
LPL/2022 Season/Summer Season_Week 4_13_2,2022-07-02 14:32:00,LPL,12.11,Top Esports,Weibo Gaming,0,1
LEC/2022 Season/Summer Season_Week 3_6_1,2022-07-02 15:07:00,LEC,12.12,Excel Esports,Team BDS,1,1
LPL/2022 Season/Summer Season_Week 4_13_3,2022-07-02 15:30:00,LPL,12.11,Weibo Gaming,Top Esports,0,1
LEC/2022 Season/Summer Season_Week 3_7_1,2022-07-02 15:58:00,LEC,12.12,Rogue (European Team),SK Gaming,1,1
CBLOL/2022 Season/Split 2_Week 4_1_1,2022-07-02 16:19:00,CBLOL,12.12,Miners,Flamengo Los Grandes,1,1
LEC/2022 Season/Summer Season_Week 3_8_1,2022-07-02 16:56:00,LEC,12.12,Team Vitality,Astralis,1,1
CBLOL/2022 Season/Split 2_Week 4_2_1,2022-07-02 17:23:00,CBLOL,12.12,Rensga Esports,LOUD,0,1
LEC/2022 Season/Summer Season_Week 3_9_1,2022-07-02 18:01:00,LEC,12.12,MAD Lions,Misfits Gaming,0,1
CBLOL/2022 Season/Split 2_Week 4_3_1,2022-07-02 18:22:00,CBLOL,12.12,RED Canids,KaBuM! Esports,1,1
LEC/2022 Season/Summer Season_Week 3_10_1,2022-07-02 19:04:00,LEC,12.12,G2 Esports,Fnatic,0,1
CBLOL/2022 Season/Split 2_Week 4_4_1,2022-07-02 19:30:00,CBLOL,12.12,paiN Gaming,FURIA,1,1
CBLOL/2022 Season/Split 2_Week 4_5_1,2022-07-02 20:28:00,CBLOL,12.12,INTZ,Liberty,0,1
LCS/2022 Season/Summer Season_Week 3_1_1,2022-07-02 20:34:00,LCS,12.12,TSM,Evil Geniuses.NA,0,1
LCS/2022 Season/Summer Season_Week 3_2_1,2022-07-02 21:24:00,LCS,12.12,FlyQuest,Dignitas,1,1
LCS/2022 Season/Summer Season_Week 3_3_1,2022-07-02 22:23:00,LCS,12.12,100 Thieves,Team Liquid,1,1
LCS/2022 Season/Summer Season_Week 3_4_1,2022-07-02 23:22:00,LCS,12.12,Golden Guardians,Immortals,1,1
LCS/2022 Season/Summer Season_Week 3_5_1,2022-07-03 00:22:00,LCS,12.12,Counter Logic Gaming,Cloud9,0,1
LCK/2022 Season/Summer Season_Week 3_9_1,2022-07-03 08:08:00,LCK,12.11,DWG KIA,Nongshim RedForce,1,1
LCK/2022 Season/Summer Season_Week 3_9_2,2022-07-03 09:03:00,LCK,12.11,DWG KIA,Nongshim RedForce,1,1
LPL/2022 Season/Summer Season_Week 4_14_1,2022-07-03 09:09:00,LPL,12.11,Rare Atom,Team WE,1,1
LPL/2022 Season/Summer Season_Week 4_14_2,2022-07-03 10:19:00,LPL,12.11,Rare Atom,Team WE,0,1
LCK/2022 Season/Summer Season_Week 3_10_1,2022-07-03 11:07:00,LCK,12.11,KT Rolster,Hanwha Life Esports,1,1
LPL/2022 Season/Summer Season_Week 4_14_3,2022-07-03 11:11:00,LPL,12.11,Rare Atom,Team WE,1,1
LCK/2022 Season/Summer Season_Week 3_10_2,2022-07-03 12:01:00,LCK,12.11,Hanwha Life Esports,KT Rolster,0,1
LPL/2022 Season/Summer Season_Week 4_15_1,2022-07-03 12:10:00,LPL,12.11,Ultra Prime,Royal Never Give Up,0,1
LPL/2022 Season/Summer Season_Week 4_15_2,2022-07-03 12:58:00,LPL,12.11,Royal Never Give Up,Ultra Prime,1,1
CBLOL/2022 Season/Split 2_Week 4_6_1,2022-07-03 16:20:00,CBLOL,12.12,KaBuM! Esports,Rensga Esports,1,1
CBLOL/2022 Season/Split 2_Week 4_7_1,2022-07-03 17:13:00,CBLOL,12.12,Liberty,RED Canids,0,1
CBLOL/2022 Season/Split 2_Week 4_8_1,2022-07-03 18:17:00,CBLOL,12.12,INTZ,paiN Gaming,0,1
CBLOL/2022 Season/Split 2_Week 4_9_1,2022-07-03 19:21:00,CBLOL,12.12,LOUD,Miners,1,1
LCS/2022 Season/Summer Season_Week 3_6_1,2022-07-03 19:33:00,LCS,12.12,Dignitas,TSM,1,1
CBLOL/2022 Season/Split 2_Week 4_10_1,2022-07-03 20:15:00,CBLOL,12.12,Flamengo Los Grandes,FURIA,0,1
LCS/2022 Season/Summer Season_Week 3_7_1,2022-07-03 20:30:00,LCS,12.12,Evil Geniuses.NA,Golden Guardians,1,1
LCS/2022 Season/Summer Season_Week 3_8_1,2022-07-03 21:25:00,LCS,12.12,Cloud9,FlyQuest,0,1
LCS/2022 Season/Summer Season_Week 3_9_1,2022-07-03 22:21:00,LCS,12.12,Counter Logic Gaming,Team Liquid,0,1
LCS/2022 Season/Summer Season_Week 3_10_1,2022-07-03 23:16:00,LCS,12.12,Immortals,100 Thieves,0,1
LPL/2022 Season/Summer Season_Week 5_1_1,2022-07-04 09:09:00,LPL,12.11,ThunderTalk Gaming,Bilibili Gaming,1,1
LPL/2022 Season/Summer Season_Week 5_1_2,2022-07-04 10:06:00,LPL,12.11,Bilibili Gaming,ThunderTalk Gaming,1,1
LPL/2022 Season/Summer Season_Week 5_1_3,2022-07-04 11:02:00,LPL,12.11,ThunderTalk Gaming,Bilibili Gaming,1,1
LPL/2022 Season/Summer Season_Week 5_2_1,2022-07-04 12:08:00,LPL,12.11,Oh My God,EDward Gaming,1,1
LPL/2022 Season/Summer Season_Week 5_2_2,2022-07-04 13:01:00,LPL,12.11,EDward Gaming,Oh My God,1,1
LPL/2022 Season/Summer Season_Week 5_2_3,2022-07-04 13:55:00,LPL,12.11,Oh My God,EDward Gaming,1,1
LPL/2022 Season/Summer Season_Week 5_3_1,2022-07-05 09:11:00,LPL,12.11,Invictus Gaming,LNG Esports,0,1
