gameid,date,league,patch,blue,red,blue_win,best_of
LTA South/2026 Season/Promotion_Round 1_3_4,2025-10-04 18:39:00,LTA South,25.19,Farenvehn,Flamengo MDL,1,1
LTA South/2026 Season/Promotion_Round 1_3_5,2025-10-04 19:39:00,LTA South,25.19,Flamengo MDL,Farenvehn,1,1
LTA North/2026 Season/Promotion_Play-In_1_1,2025-10-04 20:08:00,LTA North,25.19,Estral Esports,Conviction,0,1
LTA North/2026 Season/Promotion_Play-In_1_2,2025-10-04 20:58:00,LTA North,25.19,Conviction,Estral Esports,0,1
LTA North/2026 Season/Promotion_Play-In_1_3,2025-10-04 21:49:00,LTA North,25.19,Conviction,Estral Esports,0,1
LTA North/2026 Season/Promotion_Play-In_1_4,2025-10-04 22:33:00,LTA North,25.19,Estral Esports,Conviction,0,1
LTA North/2026 Season/Promotion_Play-In_1_5,2025-10-04 23:28:00,LTA North,25.19,Estral Esports,Conviction,1,1
LTA South/2026 Season/Promotion_Round 2_2_1,2025-10-05 16:38:00,LTA South,25.19,Flamengo MDL,Alpha7 Esports,0,1
LTA South/2026 Season/Promotion_Round 2_2_2,2025-10-05 17:17:00,LTA South,25.19,Flamengo MDL,Alpha7 Esports,1,1
LTA South/2026 Season/Promotion_Round 2_2_3,2025-10-05 18:13:00,LTA South,25.19,Alpha7 Esports,Flamengo MDL,1,1
LTA South/2026 Season/Promotion_Round 2_2_4,2025-10-05 19:02:00,LTA South,25.19,Flamengo MDL,Alpha7 Esports,1,1
LTA South/2026 Season/Promotion_Round 2_2_5,2025-10-05 19:50:00,LTA South,25.19,Flamengo MDL,Alpha7 Esports,0,1
LTA North/2026 Season/Promotion_Round 1_1_1,2025-10-05 20:13:00,LTA North,25.19,SDM Tigres,Luminosity Gaming,0,1
LTA North/2026 Season/Promotion_Round 1_1_2,2025-10-05 21:06:00,LTA North,25.19,Luminosity Gaming,SDM Tigres,1,1
LTA North/2026 Season/Promotion_Round 1_1_3,2025-10-05 22:08:00,LTA North,25.19,Luminosity Gaming,SDM Tigres,1,1
